Rampant Growth,
Sol Ring,
Sword to Plowshares,
Approach of the Second Sun,
Farseek,
Doom Blade,
Murder,
Griptide,
Abrade,
Armageddon,
All is Dust,
Damnation,
Doomfall,
Doom Whispers,
Doomsday,
